??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
dedu-txoko,[?d?du?t??k?],Substantivo,Forro (Santome),Dedomindinho. dêzenhu[de?z??u](n.)Desenho.,,,Araujo & Hagemeijer (2013),
dêfendê,[def??de],Verbo,Forro (Santome),Aguentar. 2.Defender. di[?di](prep.)De.,,,Araujo & Hagemeijer (2013),
dêfêtu,[de?fetu],Substantivo,Forro (Santome),Defeito. d???[?d???](id.)1.Cf.dasond???. 2.Cf.kulud???.,,,Araujo & Hagemeijer (2013),
dêfêza,[de?feza],Substantivo,Forro (Santome),Defesa. dijigôxtô[di?i?go?to](n.)Desgosto.,,,Araujo & Hagemeijer (2013),
dêfuntu,[de?f?tu],Substantivo,Forro (Santome),Cadáver. 2.Defunto.3.Fan- dika[di?ka](v.)1.Apontar. 2.Indicar.Cf.ndika.,,,Araujo & Hagemeijer (2013),
tasma. dimila,[dimi?la],Verbo,Forro (Santome),Admirar.,,,Araujo & Hagemeijer (2013),
deja,[d???a],Verbo,Forro (Santome),Atrever-sea. dimiladu[dimi?ladu](adj.)Admirado.,,,Araujo & Hagemeijer (2013),
delegadu,[d?l??gadu],Substantivo,Forro (Santome),Delegado. dinansê[di?nãse](poss.)1.Vossa. 2.Vossas. 3.Vos-,,,Araujo & Hagemeijer (2013),
demanda,[d??m?d? a],Substantivo,Forro (Santome),Contenda. 2.Demanda. so. 4.Vossos.,,,Araujo & Hagemeijer (2013),
demoklaxia,[d?m?kla??ia],Substantivo,Forro (Santome),Democracia. as.,,,Araujo & Hagemeijer (2013),
demono,[d??m?n?],Substantivo,Forro (Santome),Demônio. dinvya[d??vja](v.)Adivinhar.,,,Araujo & Hagemeijer (2013),
denge,[d???g?],Substantivo,Forro (Santome),Denguice. dinvyadô[d?vja?do](n.)Adivinhador.,,,Araujo & Hagemeijer (2013),
dentxi,[?d?t?i],Substantivo,Forro (Santome),Dente. dipôji[di?po?i](adv.)Depois.Cf.dêpôji.,,,Araujo & Hagemeijer (2013),
dentxi upa,[?d?t?i?upa],Expressão,Forro (Santome),"Dentesespaçados, diretôru[di???to?u](n.)Diretor.",,,Araujo & Hagemeijer (2013),
sinônimodebeleza. disidi,[disi?di],Verbo,Forro (Santome),Decidir. 2.Resolver.,,,Araujo & Hagemeijer (2013),
dêpendê,[dep??de],Verbo,Forro (Santome),Depender. divida[?divida](n.)Dívida.,,,Araujo & Hagemeijer (2013),
dependenxa,[d?p???d???a],Substantivo,Forro (Santome),Dependência. 2.Inde- dividi[divi?di](v.)1.Dividir. 2.Repartir.,,,Araujo & Hagemeijer (2013),
pendência. divinu,[di?vinu],Substantivo,Forro (Santome),Divino.,,,Araujo & Hagemeijer (2013),
dêpôji,[de?po?i],Advérbio,Forro (Santome),Depois. divorsyu[di?v??sju](n.)Divórcio.,,,Araujo & Hagemeijer (2013),
dêpôjiku,[de?po?i?ku],Conjunção,Forro (Santome),Depoisque. dixglasa[di??glasa](n.)Desgraça.,,,Araujo & Hagemeijer (2013),
dêpôx,[de?po?],Advérbio,Forro (Santome),Depois.Cf.dêpôji. dixglasadu[di?gla?sadu](n.)Desgraçado.,,,Araujo & Hagemeijer (2013),
deputadu,[d?pu?tadu],Substantivo,Forro (Santome),Deputado. dixgôxtô[di??go?to](n.) 1.Desgosto. 2.Mágoa.,,,Araujo & Hagemeijer (2013),
desa,[d??sa],Verbo,Forro (Santome),Deixar. 3.Tristeza.,,,Araujo & Hagemeijer (2013),
dêsê,[de?se],prep.v.,Forro (Santome),Parabaixo.Akôlêdêsê.Corre- dixi[?di?i](n.)Esticão.,,,Araujo & Hagemeijer (2013),
ramparabaixo. dixiplina,[di?i?plina],Substantivo,Forro (Santome),Disciplina.,,,Araujo & Hagemeijer (2013),
dêsêawa,[de?se?awa],Expressão,Forro (Santome),Atingiroorgasmo. dixkubli[di?ku?bli](v.)Descobrir.,,,Araujo & Hagemeijer (2013),
desimu,[?d?simu],Numeral,Forro (Santome),Décimo. dixkunfyadu[di?k??fjadu](adj.)Desconfiado.,,,Araujo & Hagemeijer (2013),
dixkuti,[di?ku?ti],Verbo,Forro (Santome),Discutir. djinatxintxintxin[?d?inat??t???t??](expr.) Hámuito,,,Araujo & Hagemeijer (2013),
dixpantu,[?di?p?t?u],Advérbio,Forro (Santome),Derepente. tempo.,,,Araujo & Hagemeijer (2013),
dixpaxu,[di??pa?u],Substantivo,Forro (Santome),Decisão. 2.Despacho. djinabixkôkô[?d?inabi??koko](expr.)Outrora.,,,Araujo & Hagemeijer (2013),
dixpeza,[di??peza],Substantivo,Forro (Santome),Despesa. djinga[d???ga](v.)1.Abanar. 2.Agitar(-se). 3.Ba-,,,Araujo & Hagemeijer (2013),
dixpidji,[di?pi?d?i],Substantivo,Forro (Santome),Despedida. lançar. 4.Ficarperturbado. 5.Gingar. 6.Mover-se.,,,Araujo & Hagemeijer (2013),
dixtinu,[di??tinu],Substantivo,Forro (Santome),Destino. 2.Sina. djingagidigidi[d???gagi?digi?di](expr.)Abanaragita-,,,Araujo & Hagemeijer (2013),
l d i i b z r a a n r d . a,[diz???da],Verbo,Forro (Santome),Desencaminhar. 2.Desequi- d dj a i m no e l n a te [d o ?i c ?n o ? rp la o ] . (adv.) 1.Desdeessaaltura. 2.Há,,,Araujo & Hagemeijer (2013),
dizandadu,[diz???dadu],Adjetivo,Forro (Santome),Dolorido. 2.Esmaga- m djo u g it o o [ t ? e d m ?? p g o ? . ](n.)Idjogo.Cf.idjogo.,,,Araujo & Hagemeijer (2013),
djablin,[d?a?bl?],Adjetivo,Forro (Santome),Endiabrado. dlêtu[?dletu](adj.)Direito.Cf.glêtu.,,,Araujo & Hagemeijer (2013),
djabu,[?d?abu],Interjeição,Forro (Santome),Raios! 2.Raiospartam! dobla[?d?bla](n.)Dobra.UnidademonetáriadeSão,,,Araujo & Hagemeijer (2013),
dja-dja,[?d?a?d?a],Advérbio,Forro (Santome),Qualquerdia. 2.Um dôdô[?dodo](adj.)1.Doido. 2.Lunático. 3.Malu-,,,Araujo & Hagemeijer (2013),
dja-djingu,[?d?a?d??gu],Substantivo,Forro (Santome),Domingo. dôdôdô[dodo?do](adj.)1.Fofo. 2.Querido.,,,Araujo & Hagemeijer (2013),
djagu,[?d?agu],Adjetivo,Forro (Santome),Aziago. dôdô-dôdô[do?dodo?do](adv.)1.Amalucadamente.,,,Araujo & Hagemeijer (2013),
djambi,[d????bi],Substantivo,Forro (Santome),Djambi. Ritualrealizadoduran- dôkê[?doke](conj.) Doque. Êsamaxiblukudôkê,Djambi,Ritualrealizadoduran- dôkê[?doke](conj.,Araujo & Hagemeijer (2013),
djandja,[d????d?a],Advérbio,Forro (Santome),Apressado. 2.Depressa. doma[d??ma](v.)1.Amansar. 2.Domar.,,,Araujo & Hagemeijer (2013),
djasu,[d?a?su],Interjeição,Forro (Santome),Bolas! 2.Porra! 3.Raios! dona-nglandji[?d?na??gl?d? ?i](n.)Bisavó.,,,Araujo & Hagemeijer (2013),
djanga,[d????ga],Interjeição,Forro (Santome),"Diabo! 2.Merda! 3.Por- dondolo[d?d? ??l?](n.)Dondolo.Dança,ligadaaoses-",,,Araujo & Hagemeijer (2013),
djê,[?d?e],Verbo,Forro (Santome),Apanhar. 2.Buscar. 3.Recolher. dongodongo[d???g?d???g?](n.)1.Baba. 2.Ranho.,,,Araujo & Hagemeijer (2013),
djêlu,[?d?elu],Substantivo,Forro (Santome),Dinheiro. dongô-moli[?dõgo?m?li](adj.)Apalermado.,,,Araujo & Hagemeijer (2013),
djesu,[d???su],Interjeição,Forro (Santome),Diabo! 2.Merda! 3.Porra! donoxa[d?n???a](v.)1.Atrofiar. 2.Definhar.3.Des-,,,Araujo & Hagemeijer (2013),
dji,[?d?i],Preposição,Forro (Santome),De. donoxadu[d?n???adu](adj.)1.Atrofiado. 2.Raquíti-,,,Araujo & Hagemeijer (2013),
djibela,[d?i?b?la],Substantivo,Forro (Santome),Algibeira. 2.Bolso. co. 3.Subdesenvolvido.,,,Araujo & Hagemeijer (2013),
djibon,[d?i?bõ],Substantivo,Forro (Santome),Casaco. 2.Gibão. donu[?d?nu](n.)1.Avô. 2.Dono.,,,Araujo & Hagemeijer (2013),
djidali,[d?i?dali],Substantivo,Forro (Santome),Dedal. donu-nglandji[?d?nu??gl?d? ?i](n.)Bisavô.,,,Araujo & Hagemeijer (2013),
djikitxi,[?d?ikit?i],Adjetivo,Forro (Santome),Genuíno. 2.Rude. dôsu[?dosu](num.)Dois.,,,Araujo & Hagemeijer (2013),
djimboa,[d??bo?a],Substantivo,Forro (Santome),Jimboa. Amaranthuscauda- dôsu-dexi[?dosu?d??i](num.)Vinte.Cf.vintxi.,Jimboa,Amaranthuscauda- dôsu-dexi[?dosu?d??i](num.,Araujo & Hagemeijer (2013),
tus. dôtôlô,[do?tolo],Substantivo,Forro (Santome),Doutor. 2.Médico.,,,Araujo & Hagemeijer (2013),
djimola,[d?i?m?la],Substantivo,Forro (Santome),Esmola. doxi[?d??i](adj.) 1.Agradável. 2.Belo. 3.Bom.,,,Araujo & Hagemeijer (2013),
djina,[?d?ina],Preposição,Forro (Santome),De.Djinalibaantêbasu.De 4.Delicioso.5.Doce.,,,Araujo & Hagemeijer (2013),
doxi menemene,[?d??im??n?m??n?],Expressão,Forro (Santome),Dulcíssi- dumu[du?mu](v.)1.Acabar. 2.Encerrar. 3.Finali-,,,Araujo & Hagemeijer (2013),
dôzê,[?doze],Numeral,Forro (Santome),Doze. dumudu[du?mudu](adj.)1.Moído. 2.Pilado.3.Pi-,,,Araujo & Hagemeijer (2013),
dudji,[?dud?i],Substantivo,Forro (Santome),Comidasemacompanhamento. sado.,,,Araujo & Hagemeijer (2013),
dudu,[?dudu],Substantivo,Forro (Santome),Bilha. 2.Jarro.3.Pote. 4.Va- dumu-mwala[?dumu?mwala](n.) Dumuvermelho.,,,Araujo & Hagemeijer (2013),
dududu,[dudu?du],Ideofone,Forro (Santome),Cf.xadududu. duzentu[du?z?tu](num.)Duzentos.,,,Araujo & Hagemeijer (2013),
duji,[?du?i],Adjetivo,Forro (Santome),Inútil. dwala[?dwala](n.)Dwala.Dançatradicional.,,,Araujo & Hagemeijer (2013),
dujiduji,[?du?i?du?i],Advérbio,Forro (Santome),Injustificável. 2.Sem dwê[?dwe](v.)Doer.,,,Araujo & Hagemeijer (2013),
motivo. dwentxi,[?dw?t?i],Adjetivo,Forro (Santome),Doente.,,,Araujo & Hagemeijer (2013),
duki,[?duki],Substantivo,Forro (Santome),Duque. dwentxi[?dw?t?i](n.)Doença.,,,Araujo & Hagemeijer (2013),
dukunu,[duku?nu],Verbo,Forro (Santome),Arruinarfinanceiramente. dwentxi-bluku[?dw?t?i?bluku](n.)Doençaincurável.,,,Araujo & Hagemeijer (2013),
dumba,[d??ba],Verbo,Forro (Santome),Adubar. 2.Amontoar. ente.,,,Araujo & Hagemeijer (2013),
dumbu,[d??bu],Substantivo,Forro (Santome),Dumbu.Solanumamericanum. dwentxikwenkwenkwen[?dw?t?ikw?k?w???kw?]? (expr.),,,Araujo & Hagemeijer (2013),
dumini,[?dumini],Verbo,Forro (Santome),Dormir. 1.Muitodoente. 2.Doençaprolongada.,,,Araujo & Hagemeijer (2013),
dumu,[?dumu],Substantivo,Forro (Santome),Mãodepilão. dyeta[?dj?ta](n.)Dieta.,,,Araujo & Hagemeijer (2013),
ê,[?e],Partícula,Forro (Santome),"Ó.Inenmosuê,abiliwêô!Órapazes, vamente. 4.Sim.",,,Araujo & Hagemeijer (2013),
pessoadosingularcomafunçãodecomplementodi- en,[??],Partícula,Forro (Santome),Partículaqueenfatizaexpressõesdeíti-,,,Araujo & Hagemeijer (2013),
êbyêpema,[e?bje?p?ma],Expressão,Forro (Santome),Adeus! enjolo[????l?](n.)Anjolo.Neospizaconcolor.,,,Araujo & Hagemeijer (2013),
êê,[e?e],Advérbio,Forro (Santome),Sim.Respostaquesedáquandoalguém enkwantu[???kw??t?u](conj.)Enquanto.,,,Araujo & Hagemeijer (2013),
chamapornós. êya,[?eja],Interjeição,Forro (Santome),Ei!Interjeiçãoparachamaraaten-,,,Araujo & Hagemeijer (2013),
fa,[?fa],Negação,Forro (Santome),Partículadenegaç?o? correlativadena fatu[?fatu](n.)1.Fato. 2.Terno.,,,Araujo & Hagemeijer (2013),
ounofimdeoração.Nnasêbêfa.Nãosei. fatu-banhu,[?fatu?b??? u],Substantivo,Forro (Santome),Fatodebanho.,,,Araujo & Hagemeijer (2013),
fablika,[?fablika],Substantivo,Forro (Santome),Fábrica. faxa[fa??a](v.)Enfastiar.,,,Araujo & Hagemeijer (2013),
fada,[?fada],Substantivo,Forro (Santome),Farda. faxadu[fa??adu](adj.)1.Enfastiado. 2.Farto.,,,Araujo & Hagemeijer (2013),
faka,[?faka],Substantivo,Forro (Santome),Faca. faxi[?fa?i](n.) 1.Abertura. 2.Face. 3.Fenda.,,,Araujo & Hagemeijer (2013),
faka-fôgon,[?fakafo?gõ],Substantivo,Forro (Santome),Facadecozinha. 4.Fresta.,,,Araujo & Hagemeijer (2013),
fakatxa,[faka?t?a],Verbo,Forro (Santome),Sujar. faxixta[fa??i?ta](adj.)Fascista.,,,Araujo & Hagemeijer (2013),
fala,[?fala],Substantivo,Forro (Santome),Fala. 2.Palavra. fazenda[fa?z?da](n.)1.Empresa. 2.Fazenda.3.Fi-,,,Araujo & Hagemeijer (2013),
fala-tendê,[?falat??de],Substantivo,Forro (Santome),Boato. 2.Rumor. nanças. 4.Tecido.,,,Araujo & Hagemeijer (2013),
falavontedêsu,[?falav???t??desu],Expressão,Forro (Santome),Viveramfeli- fe[?f?](v.)1.Construir. 2.Fazer. 3.Parecer.,,,Araujo & Hagemeijer (2013),
zesparasempre. febengula,[?f?b???gula],Expressão,Forro (Santome),Terrelaçõessexuais.,,,Araujo & Hagemeijer (2013),
falu,[?falu],Substantivo,Forro (Santome),Esconderijo. feble[?f?bl?](n.)Febre.,,,Araujo & Hagemeijer (2013),
falufalu,[fa?lufa?lu],Advérbio,Forro (Santome),Deformadissimulada. fede[?f?d?](n.)Maucheiro.,,,Araujo & Hagemeijer (2013),
faluza,[fa?luza],Substantivo,Forro (Santome),Ferrugem. fede[f??d?](v.)1.Cheirarmal. 2.Feder.,,,Araujo & Hagemeijer (2013),
fama,[?fama],Substantivo,Forro (Santome),Fama. 2.Nome. 3.Prestígio. fêdêgôsu[fede?gosu](n.) 1.Fedegoso. Cassiaocci-,,,Araujo & Hagemeijer (2013),
famadu,[fa?madu],Adjetivo,Forro (Santome),Afamado. 2.Famoso. fede kalumanu[f??d?kalu?manu](expr.) Cheirara,,,Araujo & Hagemeijer (2013),
familya,[fa?milja],Substantivo,Forro (Santome),Família. carnehumanaemdecomposição.,,,Araujo & Hagemeijer (2013),
fana,[fa?na],Verbo,Forro (Santome),Abrir. 2.Arregalar. 3.Desatar. fedemanda[?f?d??m?d? a](expr.)1.Discutir. 2.Dis-,,,Araujo & Hagemeijer (2013),
fanalixi,[fana?li?i],Substantivo,Forro (Santome),Morcegodenarizchato.Hippo- fedetuntuntun[f??d??t?t?t?](expr.) Cheirarmuito,,,Araujo & Hagemeijer (2013),
fanawê,[fa?na?we],Expressão,Forro (Santome),Acordar. fedja[?f??d?a](expr.)Amanhecer.,,,Araujo & Hagemeijer (2013),
fanha,[f????a],Substantivo,Forro (Santome),Farinha. fedô[f??do](n.)1.Artista. 2.Fazedor.,,,Araujo & Hagemeijer (2013),
fanha-mandjoka,[f????a m???dj?ka],Substantivo,Forro (Santome),Farinha de fedô-ben[f??do?b?]? (n.)Benfeitor.,,,Araujo & Hagemeijer (2013),
mandioca. fedô-kume,[f??doku?m?],Substantivo,Forro (Santome),Cozinheiro.,,,Araujo & Hagemeijer (2013),
fanha-min,[f????a?m?],Substantivo,Forro (Santome),Farinhademilho. 2.Fu- fedô-lata[f??do?lata](n.)1.Funileiro. 2.Latoeiro.,,,Araujo & Hagemeijer (2013),
fanha-putuga,[f????aputu?ga],Substantivo,Forro (Santome),Farinhadetrigo. fedu[?f?du](adj.)Feito.,,,Araujo & Hagemeijer (2013),
fanha-sevada,[f????as??vada],Substantivo,Forro (Santome),Farinhadecevada. fefe[f??f?](v.)1.Chupar. 2.Comeremastigarbem.,,,Araujo & Hagemeijer (2013),
fanha-tligu,[f????a?tligu],Substantivo,Forro (Santome),Farinhadetrigo. fefina[?f??fina](expr.)Armar-seempessoafina.,,,Araujo & Hagemeijer (2013),
fante,[f???t?],Substantivo,Forro (Santome),Desdém. 2.Mania. fefinta[?f??f?ta](expr.)1.Contribuir. 2.Cooperar.,,,Araujo & Hagemeijer (2013),
fasu,[?fasu],Adjetivo,Forro (Santome),Falso. 2.Inseguro. 3.Cotizar.,,,Araujo & Hagemeijer (2013),
ra. fefya,[?f??fja],Expressão,Forro (Santome),Namorar.,,,Araujo & Hagemeijer (2013),
fasufasu,[?fasu?fasu],Adjetivo,Forro (Santome),Débil. 2.Frágil. 3.In- fêgula[fe?gula](n.) 1.Bonecoutilizadonoritualdo,,,Araujo & Hagemeijer (2013),
fata,[fa?ta],Verbo,Forro (Santome),Faltar. 2.Nãoestarpresente. fekeda[?f??k?da](expr.)Equilibrar(-se).,,,Araujo & Hagemeijer (2013),
fekonta,[?f??kõta],Expressão,Forro (Santome),Calcular. fezon-sêsê[f??z??se?se](n.)Feijão-frade.,,,Araujo & Hagemeijer (2013),
fekumbinason,[?f?k?bina?sõ],Expressão,Forro (Santome),Combinar. fezon-vêdê[f??z??ve?de](n.)Feijão-verde.,,,Araujo & Hagemeijer (2013),
fela,[?f?la],Substantivo,Forro (Santome),Feira. 2.Mercado. fi[?fi](n.)Fio.,,,Araujo & Hagemeijer (2013),
feladu,[f??ladu],Adjetivo,Forro (Santome),Aquecido. 2.Ferrado. fiakôkôkô[fi?akoko?ko](expr.) Arrefecercompleta-,,,Araujo & Hagemeijer (2013),
felamadlê,[f??lama?dle],Expressão,Forro (Santome),Aqueceroútero.Prá- fifi[fi?fi](adv.)Aospoucos.,,,Araujo & Hagemeijer (2013),
ticatradicionalpós-parto. figu-plôkô,[?figu?ploko],Substantivo,Forro (Santome),Figo-porco.Ficusmucu-,,,Araujo & Hagemeijer (2013),
felazuzuzu,[f??lazuzu?zu],Expressão,Forro (Santome),Quentíssimo. so.,,,Araujo & Hagemeijer (2013),
felu,[?f?lu],Substantivo,Forro (Santome),Ferro. 2.Pênis. fijiga[?fi?iga](n.) 1.Elástico. 2.Fisga. 3.Flecha.,,,Araujo & Hagemeijer (2013),
felumu,[?f?lumu],Adjetivo,Forro (Santome),Doente. 2.Enfermo. Cf. 4.Lança.,Enfermo,Cf.,Araujo & Hagemeijer (2013),
nfelumu. fika,[fi?ka],Verbo,Forro (Santome),Deixar. 2.Ficar.,,,Araujo & Hagemeijer (2013),
felutõõõ,[?f?lu?tõõõ],Expressão,Forro (Santome),Pênisereto. fikadu[fi?kadu](adj.)1.Deixado. 2.Ficado.,,,Araujo & Hagemeijer (2013),
feluxu,[?f??lu?u],Expressão,Forro (Santome),Ostentar. 2.Requestar. fili[fi?li](v.)Ferir(-se).,,,Araujo & Hagemeijer (2013),
fêlyadu,[fe?ljadu],Substantivo,Forro (Santome),Feriado. filibagasa[fi?libaga?sa](expr.) Ferir(-se)gravemen-,,,Araujo & Hagemeijer (2013),
fematu,[?f??matu],Expressão,Forro (Santome),Defecar. filidunhanhanha[fi?lidu?a?a??a](expr.)Muitoferi-,,,Araujo & Hagemeijer (2013),
femigu,[?f??migu],Expressão,Forro (Santome),Fazeramizade. do.,,,Araujo & Hagemeijer (2013),
fenene,[f?n??n?],Ideofone,Forro (Santome),Cf. blankufenene. 2.Cf. filiji[fi?li?i](adj.)Feliz.,,,Araujo & Hagemeijer (2013),
klalufenene. filipetepete,[?filip??t?p??t?],Expressão,Forro (Santome),Muitoinexperi-,,,Araujo & Hagemeijer (2013),
fênêtxiga,[fenet?i?ga],Verbo,Forro (Santome),Afligir. 2.Incomodar(- ente. 2.Muitotenro. 3.Novíssimo.,,,Araujo & Hagemeijer (2013),
fênêtxigadu,[fenet?i?gadu],Adjetivo,Forro (Santome),Aflito. 2.Incomo- fina[fi?na](v.)Afinar.,,,Araujo & Hagemeijer (2013),
fengêfengê,[f??gef??ge],Adjetivo,Forro (Santome),Magro. portante.,,,Araujo & Hagemeijer (2013),
feodjo,[?f???d??],Expressão,Forro (Santome),Odiar. fina lekeleke[?final??k?l??k?](expr.) 1.Excelente.,,,Araujo & Hagemeijer (2013),
feolhaklukutu,[?f????akluku?tu],Expressão,Forro (Santome),Ignorar. 2.Ótimo.,,,Araujo & Hagemeijer (2013),
fepoji,[?f??p??i],Expressão,Forro (Santome),Ostentar. 2.Requestar. finansa[fi?n?s?a](n.)Finanças.,,,Araujo & Hagemeijer (2013),
fepôkô,[?f??poko],Expressão,Forro (Santome),Caçoar. 2.Troçar. finêtê[fi?nete](n.)Alfinete.,,,Araujo & Hagemeijer (2013),
ferya,[?f?rja],Substantivo,Forro (Santome),Férias. finfi[fi??fi](adj.)1.Delgado. 2.Estreito. 3.Fininho.,,,Araujo & Hagemeijer (2013),
fesa,[?f?sa],Substantivo,Forro (Santome),Festa. 4.Magro.,,,Araujo & Hagemeijer (2013),
fesu,[?f?su],Substantivo,Forro (Santome),Fecho. fingi[f??gi](n.)Ratinho.Musmusculus.,,,Araujo & Hagemeijer (2013),
fêsu,[?fesu],Substantivo,Forro (Santome),Feixe. fingilolo[f??gil??l?](expr.)1.Pessoadúbia. 2.Pessoa,,,Araujo & Hagemeijer (2013),
fêsu-basôla,[?fesuba?sola],Substantivo,Forro (Santome),União. 2.Vassoura fingida.,,,Araujo & Hagemeijer (2013),
tradicional. finji,[f???i],Verbo,Forro (Santome),Fingir(-se).,,,Araujo & Hagemeijer (2013),
fetiu,[fe?tiu],Substantivo,Forro (Santome),Feitio. finjidu[f???idu](adj.)1.Falso. 2.Fingido.,,,Araujo & Hagemeijer (2013),
fêtwa,[fe?twa],Verbo,Forro (Santome),Arranjarproblemas. 2.Provocar finka[f??ka](v.)1.Fincar. 2.Firmar.,,,Araujo & Hagemeijer (2013),
fêvêlêlu,[feve?lelu],Substantivo,Forro (Santome),Fevereiro. finta[f??ta](v.)Desviar.,,,Araujo & Hagemeijer (2013),
fevlegonha,[?f?vl??g??? a],Expressão,Forro (Santome),Envergonhar(-se). finta[?f?ta](n.) 1.Contribuição. 2.Cooperação.,,,Araujo & Hagemeijer (2013),
fewê-lizu,[?f??we?lizu],Expressão,Forro (Santome),Encorajar. 3.Quotização.,,,Araujo & Hagemeijer (2013),
fezawa,[?f??zawa],Expressão,Forro (Santome),Urinar. fintadu[f??tadu](adj.)Desviado.,,,Araujo & Hagemeijer (2013),
fezon-bongê,[f??z???bõge],Substantivo,Forro (Santome),Feijão-cutelinho.Pha- fisadu[fi?sadu](adj.)Fechado.,,,Araujo & Hagemeijer (2013),
seoluslunatus. fisadukôkôkô,[fi?sadukoko?ko],Expressão,Forro (Santome),Apertadíssi-,,,Araujo & Hagemeijer (2013),
fezon-floli,[f??z???fl?li],Substantivo,Forro (Santome),Feijão-flor. Centrosema mo. 2.Completamentefechado.,Feijão-flor,Centrosema mo.,Araujo & Hagemeijer (2013),
pubescens. fisadula,[fisa?dula],Substantivo,Forro (Santome),Fechadura.,,,Araujo & Hagemeijer (2013),
fezon-kongô,[f??z???kõgo],Substantivo,Forro (Santome),Andú. Cajanusca- fisandja[fis???d?a](n.) 1.Adenia. Adeniacissampe-,Andú,Cajanusca- fisandja[fis???d?a](n.,Araujo & Hagemeijer (2013),
fezon-makundê,[f??z??ma?k?de],Substantivo,Forro (Santome),Feijão-macondê. sandja.Adeniacissampeloides.,,,Araujo & Hagemeijer (2013),
Vignaunguiculata. fisaubwê,[fisu?bwe],Expressão,Forro (Santome),Compor(-se). 2.Cu-,,,Araujo & Hagemeijer (2013),
fezon-matu,[f??z???matu],Substantivo,Forro (Santome),Feijão-do-mato. Clito- rar.,Feijão-do-mato,Clito- rar.,Araujo & Hagemeijer (2013),
riafalcata. fisaubwê,[fisu?bwe],Substantivo,Forro (Santome),Massagem.,,,Araujo & Hagemeijer (2013),
fisu,[?fisu],Substantivo,Forro (Santome),Emprego. 2.Ritualfúnebre. 3.Ofí- flega[fl??ga](v.) 1.Esfregar. 2.Fazerentranharos,,,Araujo & Hagemeijer (2013),
fita,[?fita],Substantivo,Forro (Santome),Cena. 2.Cenário. 3.Faixa.4.Fita. flegadô[fl?ga?do](n.)Massagista.Terapeutatradici-,,,Araujo & Hagemeijer (2013),
fi-tlaxi,[?fi?tla?i],Substantivo,Forro (Santome),Colunavertebral. 2.Espinha flegadu[fl??gadu](adj.)1.Esfregado. 2.Massageado.,,,Araujo & Hagemeijer (2013),
fitôr,[fi?to?],Substantivo,Forro (Santome),Feitor. flêgê[fle?ge](n.)1.Cliente. 2.Freguês.,,,Araujo & Hagemeijer (2013),
fitxin,[fi?t??],Substantivo,Forro (Santome),Intriga. flêgêja[flege??a](n.)Freguesia.,,,Araujo & Hagemeijer (2013),
fitxin-flôgô,[fi?t??flo?go],Substantivo,Forro (Santome),Ilusãodavida. flegon[fl??g?]? (n.)Esfregão.,,,Araujo & Hagemeijer (2013),
fitxisêla,[fit?i?sela],Substantivo,Forro (Santome),Feiticeira. flêlu[?flelu](n.)Ferreiro.,,,Araujo & Hagemeijer (2013),
fitxisêlu,[fit?i?selu],Substantivo,Forro (Santome),Feiticeiro. flema[fl??ma](v.)1.Aborrecer. 2.Provocar.,,,Araujo & Hagemeijer (2013),
fitxisêluaze,[fit?i?selua?z?],Expressão,Forro (Santome),Feiticeirotemível. flêminga[fle?m?ga](n.)Formiga.,,,Araujo & Hagemeijer (2013),
fitxisu,[fi?t?isu],Substantivo,Forro (Santome),Feitiço. flenta[fl??ta](v.)1.Cozer. 2.Ferventar.Cf.fleben-,,,Araujo & Hagemeijer (2013),
fixali,[fi??ali],Substantivo,Forro (Santome),Fixali. Denominaçãodosresponsá- ta.,Fixali,Denominaçãodosresponsá- ta.,Araujo & Hagemeijer (2013),
veispelosparticipantesnumafestareligiosa. flentadu,[fl??tadu],Substantivo,Forro (Santome),Cozido. 2.Ferventado.,,,Araujo & Hagemeijer (2013),
fla,[?fla],Verbo,Forro (Santome),Dizer. 2.Falar. flêsê[fle?se](v.)Oferecer.,,,Araujo & Hagemeijer (2013),
fladin,[fla?d?],Advérbio,Forro (Santome),Ruidosamente. flêsê[fle?se](n.)Oferecimento.Ritualnoqualobebê,,,Araujo & Hagemeijer (2013),
fladô,[fla?do],Substantivo,Forro (Santome),Falador. éoferecidoespiritualmenteparareceberproteçãodi-,,,Araujo & Hagemeijer (2013),
flafala,[?fla?fala],Expressão,Forro (Santome),Criticar. 2.Maldizer. fleskutatata[?fl?skutata?ta](expr.)Peixefresquíssi-,,,Araujo & Hagemeijer (2013),
flakêza,[fla?keza],Substantivo,Forro (Santome),Fraqueza. fliji[fli??i](v.)1.Afligir. 2.Fritar.,,,Araujo & Hagemeijer (2013),
flaki,[?flaki],Substantivo,Forro (Santome),Fraque. flijidu[fli??idu](adj.)1.Aflito. 2.Frito.,,,Araujo & Hagemeijer (2013),
flakon-benta,[fla?k???b?ta],Substantivo,Forro (Santome),Falcão-benta.Persona- flimadu[fli?madu](adj.)Crescido.,,,Araujo & Hagemeijer (2013),
