"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"Gine Kwatoriali","Topónimo","Guiné Equatorial igbêtê n. bordão-de-São-José","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ginhan","Substantivo","galinha ikiri n. rodilha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ginhan-awa","Substantivo","galinha-d’água ikôkô 1. n. inhame-coco; 2. n. matabala","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ginhan-gene","Substantivo","galinha-d’angola ikpe 1. n. grão; 2. n. semente; 3. n. testículos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ginhan-umatu","Substantivo","galinha-do-mato ikpene n. urtiga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gogo","Verbo","gostar ikpêtê n. bordão-de-São-José","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gôgô","Substantivo","gôgô, andiroba (Carapa procera)C15          ikpe-uê n. íris","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"golfu","Substantivo","golfo imin n. milho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Golfu Gine","Topónimo","Golfo da Guiné impin n. pinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gôôpa","Substantivo","garoupa (Epinephelus                        5. pro. 3PL.SUJ","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Infantxi Don Enriki","Topónimo","Infante","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gôôpin","Substantivo","garoupinha Dom Henrique","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"infimêw","Substantivo","enfermeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"govena","Verbo","governar infomatxiku n. técnico de informática","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"govenu","Substantivo","governo ingêxi n. inglês","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"govina","Substantivo","caié Inglate top. Inglaterra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"goxta","Verbo","gostar inhanxi adv. sim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"inhemi","Substantivo","inhame","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"guli ôtô","Expressão","engolir fazendo barulho injiêw n. engenheiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"guupu","Substantivo","grupo inkwantu conj. enquanto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Gwi","Antropónimo","Gui intêru n. inteiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ibi","Substantivo","carvão irixi n. nariz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ise","Substantivo","esteira tradicional kadeenu n. caderno","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kadya","Substantivo","nádegas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
